Alpha, Avg Blocked Cell Detects, Avg Space Rat Pings, Avg Movements, Avg Timesteps
0.02, 7.71, 127.73, 134.44, 269.88
0.04, 6.9, 93.45, 99.35, 199.7
0.06, 7.25, 92.54, 98.79, 198.58
0.08, 8.14, 87.64, 94.78, 190.56
0.1, 7.95, 89.58, 96.53, 194.06
0.12, 7.22, 89.96, 96.18, 193.36
0.14, 7.66, 91.09, 97.75, 196.5
0.16, 7.35, 90.79, 97.14, 195.28
0.18, 7.94, 92.0, 98.94, 198.88
0.2, 8.1, 92.95, 100.05, 201.1
0.22, 8.16, 90.66, 97.82, 196.64
0.24, 8.35, 92.9, 100.25, 201.5
0.26, 7.69, 97.23, 103.92, 208.84
0.28, 8.24, 99.15, 106.39, 213.78
0.3, 7.56, 98.14, 104.7, 210.4
