Alpha, Avg Blocked Cell Detects, Avg Space Rat Pings, Avg Movements, Avg Timesteps
0.02, 7.21, 200.88, 207.09, 415.18
0.04, 7.74, 155.74, 162.48, 325.96
0.06, 7.57, 143.27, 149.84, 300.68
0.08, 7.75, 157.19, 163.94, 328.88
0.1, 8.24, 136.27, 143.51, 288.02
0.12, 8.27, 131.59, 138.86, 278.72
0.14, 7.37, 125.2, 131.57, 264.14
0.16, 8.43, 130.62, 138.05, 277.1
0.18, 8.21, 137.73, 144.94, 290.88
0.2, 7.09, 132.58, 138.67, 278.34
0.22, 7.44, 141.51, 147.95, 296.9
0.24, 7.36, 119.36, 125.72, 252.44
0.26, 7.63, 132.8, 139.43, 279.86
0.28, 7.48, 129.3, 135.78, 272.56
0.3, 7.31, 149.79, 156.1, 313.2
